#633-NPs water	
# Wavelength (nm)	%R
2192	44.20874405
2191	44.09850693
2190	44.03839111
2189	44.4345665
2188	44.25941849
2187	44.35587311
2186	44.32162857
2185	44.32118607
2184	44.11238098
2183	44.14873123
2182	43.97679901
2181	44.41479111
2180	44.2997818
2179	44.36896133
2178	44.51536942
2177	44.49233246
2176	44.37065887
2175	44.25935745
2174	44.32369995
2173	44.34310913
2172	44.26390457
2171	44.03300095
2170	44.1746521
2169	44.28801346
2168	44.36606216
2167	43.9500351
2166	44.28139114
2165	44.49847794
2164	44.33496094
2163	44.10922241
2162	43.98150635
2161	44.54867935
2160	44.14219666
2159	44.77388763
2158	44.00385666
2157	44.15368271
2156	44.18125534
2155	44.10090256
2154	44.07318878
2153	44.24369431
2152	44.16738892
2151	43.93806458
2150	43.69063568
2149	44.3828125
2148	44.19252396
2147	44.15024948
2146	44.3147583
2145	44.29092789
2144	44.14863205
2143	44.05993271
2142	44.03745651
2141	43.89492798
2140	44.05867386
2139	44.17403793
2138	44.06409073
2137	44.29531097
2136	44.12776947
2135	43.92941284
2134	43.82542801
2133	43.84185028
2132	43.71258926
2131	44.09719849
2130	43.93000412
2129	43.69524002
2128	43.70869064
2127	44.02838135
2126	43.92931747
2125	43.78777695
2124	43.72980881
2123	43.33246231
2122	43.45729065
2121	43.88389206
2120	43.75566101
2119	43.69180298
2118	43.37735367
2117	43.57343674
2116	43.68334579
2115	43.59986496
2114	43.36338806
2113	43.25221634
2112	43.56721878
2111	43.18885422
2110	43.17060471
2109	43.39987183
2108	43.02348328
2107	43.12312698
2106	43.15104675
2105	43.06303406
2104	43.04089355
2103	43.25845718
2102	43.17987061
2101	43.04905701
2100	42.65610886
2099	43.17893982
2098	43.00082397
2097	42.85533142
2096	42.97786331
2095	42.73653412
2094	42.74091339
2093	42.87184525
2092	42.64169312
2091	42.79885101
2090	42.68653107
2089	42.90224457
2088	42.5716629
2087	42.51829529
2086	42.88886642
2085	42.55022049
2084	42.21437454
2083	42.57209778
2082	42.75606918
2081	42.40938568
2080	42.92946625
2079	42.34714127
2078	42.45788956
2077	42.47930527
2076	42.69080734
2075	42.42494965
2074	42.5046196
2073	42.3398056
2072	42.48649979
2071	42.5218811
2070	42.24322128
2069	42.00262833
2068	42.25222778
2067	42.3214798
2066	41.86984253
2065	42.23799896
2064	42.26657486
2063	42.04626465
2062	42.18143845
2061	42.102005
2060	41.99892426
2059	41.92379379
2058	41.97491455
2057	42.00171661
2056	41.87911606
2055	42.03050232
2054	41.89428329
2053	41.73443222
2052	41.63104248
2051	41.73508835
